Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000018339,Gpx3,Gene Expression,0.7929628827719368,0.0,0.0,1637831,1391.7968299042197,1441
ENSMUSG00000021490,Slc34a1,Gene Expression,0.7739491739903529,0.0,0.0,100015,82.40435288080724,1437
ENSMUSG00000032492,Pth1r,Gene Expression,0.7491756163990121,0.0,0.0,33880,28.194805420423815,1432
ENSMUSG00000017493,Igfbp4,Gene Expression,0.735299875771839,0.0,0.0,30707,25.093115287199108,1432
ENSMUSG00000030945,Acsm2,Gene Expression,0.7090076227061959,0.0,0.0,36661,29.083295930338352,1430
ENSMUSG00000025479,Cyp2e1,Gene Expression,0.6964181184640023,0.0,0.0,39936,30.838411975473967,1434
ENSMUSG00000018459,Slc13a3,Gene Expression,0.6933577552023248,0.0,0.0,21815,17.57293392328392,1423
ENSMUSG00000022613,Miox,Gene Expression,0.6880055335136578,0.0,0.0,35365,27.163337864539933,1427
ENSMUSG00000002204,Napsa,Gene Expression,0.6714209582653912,0.0,0.0,312980,159.0604390416541,1440
ENSMUSG00000026417,Pigr,Gene Expression,0.6608919643316263,0.0,0.0,20234,16.279616096316182,1405
ENSMUSG00000076441,Ass1,Gene Expression,0.65702412615829,0.0,0.0,47319,35.380930442919635,1435
ENSMUSG00000032532,Cck,Gene Expression,0.654548856571144,0.0,0.0,2303,1.2217653388297973,542
ENSMUSG00000052305,Hbb-bs,Gene Expression,0.6484736327096027,0.0,0.0,1280688,687.4502276487075,1441
ENSMUSG00000005980,Dnase1,Gene Expression,0.6425909801554482,0.0,0.0,44951,32.932615754244964,1435
ENSMUSG00000040808,S100g,Gene Expression,0.6412710421507423,0.0,0.0,233662,217.31523149661635,1439
ENSMUSG00000060961,Slc4a4,Gene Expression,0.6331711036980986,0.0,0.0,16418,13.07112590106763,1413
ENSMUSG00000005125,Ndrg1,Gene Expression,0.6324326421153638,0.0,0.0,37635,27.87189053104007,1437
ENSMUSG00000028307,Aldob,Gene Expression,0.6280589433695604,0.0,0.0,185886,120.92514946024389,1439
ENSMUSG00000024552,Slc14a2,Gene Expression,0.6279422588984668,0.0,0.0,10894,5.832625201349022,887
ENSMUSG00000057103,Nat8f1,Gene Expression,0.6278739969080805,0.0,0.0,29511,21.706737575642997,1433
ENSMUSG00000032060,Cryab,Gene Expression,0.6278444663930497,0.0,0.0,26998,13.536021630922663,1373
ENSMUSG00000039438,Ttc36,Gene Expression,0.6251407714885299,0.0,0.0,70194,47.781560501901694,1437
ENSMUSG00000073940,Hbb-bt,Gene Expression,0.6218219019834811,0.0,0.0,182097,98.21852345115626,1439
ENSMUSG00000029700,Slc13a1,Gene Expression,0.6189617508241038,0.0,0.0,9936,8.040770533084194,1303
ENSMUSG00000006345,Ggt1,Gene Expression,0.6184826450623652,0.0,0.0,45835,31.548401028643358,1438
ENSMUSG00000063796,Slc22a8,Gene Expression,0.615799542156641,0.0,0.0,9804,8.211801985048927,1297
ENSMUSG00000030004,Nat8,Gene Expression,0.6154727717663895,0.0,0.0,35113,25.737982243561305,1436
ENSMUSG00000028713,Cyp4b1,Gene Expression,0.6119097437497499,0.0,0.0,29170,21.257396326396133,1422
ENSMUSG00000021081,Serpina1f,Gene Expression,0.60462030089352,0.0,0.0,28411,13.479694761023442,1352
ENSMUSG00000050777,Tmem37,Gene Expression,0.6015152999123756,0.0,0.0,16289,12.219896311390672,1410
ENSMUSG00000024503,Spink1,Gene Expression,0.6014528114080925,0.0,0.0,113127,75.23840028297175,1438
ENSMUSG00000061906,Ugt2b38,Gene Expression,0.6009939200908838,0.0,0.0,11727,9.149125050208847,1301
ENSMUSG00000020051,Pah,Gene Expression,0.6003472224306866,0.0,0.0,10976,8.551066454072092,1334
ENSMUSG00000024892,Pcx,Gene Expression,0.6001524461861492,0.0,0.0,23434,17.50133463877649,1432
ENSMUSG00000018211,Wfdc15b,Gene Expression,0.5979820534405313,0.0,0.0,91804,48.397471594137926,1436
ENSMUSG00000069919,Hba-a1,Gene Expression,0.594725392900758,0.0,0.0,504608,268.2025761491938,1439
ENSMUSG00000015401,Cltrn,Gene Expression,0.5911708359353288,0.0,0.0,55310,40.70666299860679,1437
ENSMUSG00000027513,Pck1,Gene Expression,0.5889202615394328,0.0,0.0,95026,63.070323279790436,1438
ENSMUSG00000039680,Mrps6,Gene Expression,0.5866421201112614,0.0,0.0,37868,20.00592638446633,1425
ENSMUSG00000022132,Cldn10,Gene Expression,0.5811076068001941,0.0,0.0,22478,11.600034626142248,1355
ENSMUSG00000062609,Kcnj15,Gene Expression,0.5786581516308263,0.0,0.0,19540,14.179246094124736,1413
ENSMUSG00000022445,Cyp2d26,Gene Expression,0.57777302803642,0.0,0.0,12243,9.393634710658308,1365
ENSMUSG00000003477,Inmt,Gene Expression,0.5763692042444929,0.0,0.0,8492,6.9285485133244515,1361
ENSMUSG00000024827,Gldc,Gene Expression,0.5758192424742329,0.0,0.0,7871,6.643466602751513,1278
ENSMUSG00000020432,Tcn2,Gene Expression,0.5757445284349341,0.0,0.0,47373,33.088117864832704,1438
ENSMUSG00000024650,Slc22a6,Gene Expression,0.5736456048531096,0.0,0.0,11224,8.571847153557353,1325
ENSMUSG00000055435,Maf,Gene Expression,0.5728645013146443,0.0,0.0,8088,7.031882830900862,1320
ENSMUSG00000063683,Glyat,Gene Expression,0.5727884046471161,0.0,0.0,13424,10.193744193145024,1378
ENSMUSG00000056487,Mettl7a2,Gene Expression,0.5711564246488234,0.0,0.0,6931,3.1716425880405326,840
ENSMUSG00000028715,Cyp4a14,Gene Expression,0.5692665797501575,0.0,0.0,17348,12.40215799279584,1385
ENSMUSG00000023914,Mep1a,Gene Expression,0.5684569536808375,0.0,0.0,68142,37.41979539312462,1437
ENSMUSG00000032758,Kap,Gene Expression,0.5676804506892611,0.0,0.0,1002515,526.2600631407696,1440
ENSMUSG00000069805,Fbp1,Gene Expression,0.5655278513959933,0.0,0.0,40952,26.962889147683757,1434
ENSMUSG00000015090,Ptgds,Gene Expression,0.5599844961992319,0.0,0.0,6375,3.3431693913896847,976
ENSMUSG00000026295,Spp2,Gene Expression,0.5565073133515474,0.0,0.0,5433,4.8324904930733625,1200
ENSMUSG00000074028,Slc22a13,Gene Expression,0.5554997849473352,0.0,0.0,5946,2.8394480155308055,861
ENSMUSG00000047586,Nccrp1,Gene Expression,0.5544286789470633,0.0,0.0,7208,3.778230508432946,1046
ENSMUSG00000024313,Mep1b,Gene Expression,0.5525298566997795,0.0,0.0,9599,4.503039169632409,1012
ENSMUSG00000026473,Glul,Gene Expression,0.5522832153207722,0.0,0.0,21565,15.582504635067606,1432
ENSMUSG00000027359,Slc27a2,Gene Expression,0.5517848928812877,0.0,0.0,79328,45.105474209503335,1436
ENSMUSG00000005547,Cyp2a5,Gene Expression,0.5484282448764032,0.0,0.0,17447,12.540795363377718,1357
ENSMUSG00000040016,Ptger3,Gene Expression,0.5481274761642067,0.0,0.0,3385,1.7367392468141476,785
ENSMUSG00000061718,Ppp1r1b,Gene Expression,0.5478182616303653,0.0,0.0,5636,2.8302667887197464,952
ENSMUSG00000029445,Hpd,Gene Expression,0.5446672523161712,0.0,0.0,17200,12.362078217328984,1401
ENSMUSG00000021207,Akr1c21,Gene Expression,0.5446008438438797,0.0,0.0,45522,30.179918765458154,1434
ENSMUSG00000071177,Serpina1d,Gene Expression,0.5439397791031685,0.0,0.0,21657,14.199308154940384,1327
ENSMUSG00000032978,Guca2b,Gene Expression,0.5432579658875002,0.0,0.0,58750,32.90854977661561,1438
ENSMUSG00000058488,Kl,Gene Expression,0.5429080307044104,0.0,0.0,11686,9.295869597325398,1391
ENSMUSG00000025491,Ifitm1,Gene Expression,0.5425414029484271,0.0,0.0,11428,6.17193176431904,1246
ENSMUSG00000049152,Ugt3a2,Gene Expression,0.5389959177280108,0.0,0.0,37260,22.509719566860245,1434
ENSMUSG00000098178,Gm42418,Gene Expression,0.538710380424602,0.0,0.0,50081,49.90731256569977,1439
ENSMUSG00000028766,Alpl,Gene Expression,0.5363677525792101,0.0,0.0,7394,5.808868722134902,1237
ENSMUSG00000074639,Rdh16f2,Gene Expression,0.5350936202200153,0.0,0.0,18865,13.181383987109987,1404
ENSMUSG00000021612,Slc6a18,Gene Expression,0.5344414272467152,0.0,0.0,38919,22.292566783873195,1434
ENSMUSG00000029162,Khk,Gene Expression,0.5336255504829356,0.0,0.0,25872,17.086739091496202,1435
ENSMUSG00000028222,Calb1,Gene Expression,0.5331121449367541,0.0,0.0,20464,19.125092497792284,1403
ENSMUSG00000027070,Lrp2,Gene Expression,0.5324383942477597,0.0,0.0,33097,20.938623901026503,1428
ENSMUSG00000027227,Sord,Gene Expression,0.5302346024355696,0.0,0.0,41343,28.61467652848833,1433
ENSMUSG00000038298,Pdzk1,Gene Expression,0.5234665895096832,0.0,0.0,25399,15.950782603344415,1417
ENSMUSG00000066366,Serpina1a,Gene Expression,0.522964673893074,0.0,0.0,20965,10.92742836329707,1364
ENSMUSG00000028692,Akr1a1,Gene Expression,0.5220656302954307,0.0,0.0,52608,37.06027667255028,1438
ENSMUSG00000025204,Ndufb8,Gene Expression,0.5213687520478445,0.0,0.0,54882,30.346953063823683,1437
ENSMUSG00000071866,Ppia,Gene Expression,0.5210146034532684,0.0,0.0,71979,39.893718227078125,1435
ENSMUSG00000030160,Tmem52b,Gene Expression,0.5206404910899218,0.0,0.0,10818,9.862909205392688,1352
ENSMUSG00000039519,Cyp7b1,Gene Expression,0.5200485888881567,0.0,0.0,7045,3.300855245839224,945
ENSMUSG00000028743,Akr7a5,Gene Expression,0.5188188655510436,0.0,0.0,26869,18.586025747707303,1434
ENSMUSG00000052520,Cyp2j5,Gene Expression,0.5175246696713552,0.0,0.0,23833,15.314372261064337,1409
ENSMUSG00000029455,Aldh2,Gene Expression,0.5155703338782345,0.0,0.0,35356,23.852997252020916,1436
ENSMUSG00000039450,Dcxr,Gene Expression,0.5133227651231993,0.0,0.0,16536,11.838338935475635,1426
ENSMUSG00000020777,Acox1,Gene Expression,0.5125857163516709,0.0,0.0,31919,21.494979680104898,1436
ENSMUSG00000024757,Slc22a19,Gene Expression,0.512376032152876,0.0,0.0,5053,2.362435094232098,808
ENSMUSG00000002055,Spag5,Gene Expression,0.5111562107674494,0.0,0.0,666,0.34422698528972223,290
ENSMUSG00000033998,Kcnk1,Gene Expression,0.5109279226274461,0.0,0.0,16222,7.879329496957687,1305
ENSMUSG00000047230,Cldn2,Gene Expression,0.5100333435084453,0.0,0.0,20889,14.58141888499233,1427
ENSMUSG00000033770,Clcnka,Gene Expression,0.5089099064300504,0.0,0.0,9913,5.229792233464592,1197
ENSMUSG00000061780,Cfd,Gene Expression,0.5033432623097585,0.0,0.0,25299,31.782764744434544,1300
ENSMUSG00000027870,Hao2,Gene Expression,0.502350143036594,0.0,0.0,28601,15.762710122305835,1414
ENSMUSG00000023829,Slc22a1,Gene Expression,0.5020822428627532,0.0,0.0,14895,10.480670851976033,1395
ENSMUSG00000020609,Apob,Gene Expression,0.5009428430032079,0.0,0.0,4670,2.185556984412024,780
ENSMUSG00000022982,Sod1,Gene Expression,0.49914226352331553,0.0,0.0,44385,28.982324303159523,1436
ENSMUSG00000021238,Aldh6a1,Gene Expression,0.49803826996371947,0.0,0.0,25945,18.462288122661686,1435
ENSMUSG00000027202,Slc12a1,Gene Expression,0.4978203504462351,0.0,0.0,75114,40.88671810653439,1437
ENSMUSG00000017390,Aldoc,Gene Expression,0.49744851819692376,0.0,0.0,2700,1.4109319211844489,760
ENSMUSG00000024694,Keg1,Gene Expression,0.4948678871422361,0.0,0.0,30847,17.562090739344455,1426
ENSMUSG00000067144,Slc22a7,Gene Expression,0.49211645546414495,0.0,0.0,4236,1.9803389523030557,766
ENSMUSG00000039710,Slc7a12,Gene Expression,0.49077434914309664,0.0,0.0,2441,4.44197700042174,493
ENSMUSG00000022490,Ppp1r1a,Gene Expression,0.49067928190082694,0.0,0.0,56014,30.77652872988489,1437
ENSMUSG00000055737,Ghr,Gene Expression,0.490091699369306,0.0,0.0,27677,15.131703734066853,1429
ENSMUSG00000034871,Fam151a,Gene Expression,0.48736369138113683,0.0,0.0,3857,3.4997477053534074,1079
ENSMUSG00000025533,Asl,Gene Expression,0.48656563712961887,0.0,0.0,9411,7.430130302790685,1395
ENSMUSG00000044249,Defb29,Gene Expression,0.486230209872759,0.0,0.0,23690,12.392756015825794,1398
ENSMUSG00000092341,Malat1,Gene Expression,0.4859843300634212,0.0,0.0,15371,14.506055312180159,1436
ENSMUSG00000069917,Hba-a2,Gene Expression,0.4838229906931854,0.0,0.0,453778,262.67518125919725,1439
ENSMUSG00000006519,Cyba,Gene Expression,0.4832651521121896,0.0,0.0,37709,25.368548319781745,1436
ENSMUSG00000056973,Ces1d,Gene Expression,0.48130963336099725,0.0,0.0,9652,7.202039726598349,1371
ENSMUSG00000030562,Nox4,Gene Expression,0.48043066368568343,0.0,0.0,5489,4.428348186368737,1152
ENSMUSG00000032246,Calml4,Gene Expression,0.4801788967928041,0.0,0.0,26096,15.761566532175689,1414
ENSMUSG00000026185,Igfbp5,Gene Expression,0.479999897093835,0.0,0.0,21805,13.719757828465665,1423
ENSMUSG00000057933,Gsta2,Gene Expression,0.47930030407297186,0.0,0.0,10237,7.294840946503303,1338
ENSMUSG00000032081,Apoc3,Gene Expression,0.4780911021498466,0.0,0.0,10602,5.5982311886083,1193
ENSMUSG00000000154,Slc22a18,Gene Expression,0.4775711072568586,0.0,0.0,17107,11.35917228335087,1413
ENSMUSG00000028755,Cda,Gene Expression,0.47729235847761237,0.0,0.0,25408,15.856681050926344,1424
ENSMUSG00000041052,Slc7a13,Gene Expression,0.47560797320701786,0.0,0.0,15213,7.894322644963488,1289
ENSMUSG00000074254,Cyp2a4,Gene Expression,0.474809283981157,0.0,0.0,14452,7.400178081804628,1256
ENSMUSG00000030109,Slc6a12,Gene Expression,0.47423879999844143,0.0,0.0,694,0.3605358812306768,303
ENSMUSG00000022679,Mpv17l,Gene Expression,0.4728687851215364,0.0,0.0,19016,9.485951900395541,1369
ENSMUSG00000060002,Chpt1,Gene Expression,0.471754764561961,0.0,0.0,65262,40.28519744591597,1439
ENSMUSG00000021335,Slc17a1,Gene Expression,0.4712282426768584,0.0,0.0,16027,10.425542961534244,1397
ENSMUSG00000004341,Gpx6,Gene Expression,0.4709778314841197,0.0,0.0,13122,6.981157420030667,1252
ENSMUSG00000024866,Acy3,Gene Expression,0.4709639314355049,0.0,0.0,34294,19.287402071557157,1430
ENSMUSG00000024131,Slc3a1,Gene Expression,0.4689946994316144,0.0,0.0,22029,12.404825793573751,1409
ENSMUSG00000031766,Slc12a3,Gene Expression,0.467641643008681,0.0,0.0,15331,13.97298718198592,1375
ENSMUSG00000084174,Sycn,Gene Expression,0.46670522288031124,0.0,0.0,710,0.36746472099249733,308
ENSMUSG00000068086,Cyp2d9,Gene Expression,0.46660845008687196,0.0,0.0,18702,10.69890673934287,1381
ENSMUSG00000024164,C3,Gene Expression,0.46633326023556304,0.0,0.0,9555,7.893795942360009,1317
ENSMUSG00000097651,4930461G14Rik,Gene Expression,0.46585063667094506,0.0,0.0,952,0.4762558770186245,412
ENSMUSG00000010651,Acaa1b,Gene Expression,0.46580144591806594,0.0,0.0,13381,9.067919168978063,1361
ENSMUSG00000020483,Dynll2,Gene Expression,0.4652975103465936,0.0,0.0,18142,14.814686636327162,1435
ENSMUSG00000021565,Slc6a19,Gene Expression,0.46503372348973976,0.0,0.0,6116,5.077741279786294,1223
ENSMUSG00000026435,Slc45a3,Gene Expression,0.46315731211146816,0.0,0.0,2604,1.3931616806333025,809
ENSMUSG00000033715,Akr1c14,Gene Expression,0.4599029704035094,0.0,0.0,6509,3.2060846885528167,983
ENSMUSG00000029695,Aass,Gene Expression,0.45841540818253285,0.0,0.0,13457,9.298863390414786,1383
ENSMUSG00000022150,Dab2,Gene Expression,0.45752975729603834,0.0,0.0,8520,6.4752601491798565,1355
ENSMUSG00000031958,Ldhd,Gene Expression,0.4554043797529727,0.0,0.0,27293,17.36576766149443,1437
ENSMUSG00000024391,Apom,Gene Expression,0.4544746623623402,0.0,0.0,6455,5.173402351214693,1266
ENSMUSG00000000594,Gm2a,Gene Expression,0.4539151976142031,0.0,0.0,16454,11.428742409801144,1430
ENSMUSG00000030630,Fah,Gene Expression,0.4535245272237288,0.0,0.0,28327,19.142199892423974,1435
ENSMUSG00000040181,Fmo1,Gene Expression,0.4520666814977201,0.0,0.0,12691,8.55562415132862,1372
ENSMUSG00000063856,Gpx1,Gene Expression,0.45129262343318705,0.0,0.0,118519,79.30979825353818,1440
ENSMUSG00000046082,Tmem174,Gene Expression,0.44907339920430117,0.0,0.0,13771,9.254044487564267,1385
ENSMUSG00000024411,Aqp4,Gene Expression,0.44744430926387785,0.0,0.0,2451,1.1204997819226705,620
ENSMUSG00000028716,Pdzk1ip1,Gene Expression,0.4473059149199992,0.0,0.0,48425,34.846915764711746,1437
ENSMUSG00000090231,Cfb,Gene Expression,0.447173586423524,0.0,0.0,12188,8.643598470556443,1392
ENSMUSG00000022820,Ndufb4,Gene Expression,0.4460946679435749,0.0,0.0,43537,24.755363175033228,1434
ENSMUSG00000037071,Scd1,Gene Expression,0.44604752265318615,0.0,0.0,8800,5.346002820911044,1187
ENSMUSG00000001773,Folh1,Gene Expression,0.4456860052969852,0.0,0.0,5165,3.9886119665562685,1147
ENSMUSG00000073421,H2-Ab1,Gene Expression,0.4449745451893747,0.0,0.0,37600,28.004425354753053,1436
ENSMUSG00000035885,Cox8a,Gene Expression,0.4444025545784995,0.0,0.0,141389,80.77787292620413,1437
ENSMUSG00000022382,Wnt7b,Gene Expression,0.44372894504637694,0.0,0.0,1243,0.6435476029005558,505
ENSMUSG00000030963,Umod,Gene Expression,0.4434741355096131,0.0,0.0,413563,230.21436181718343,1441
ENSMUSG00000027187,Cat,Gene Expression,0.4434676694407792,0.0,0.0,32971,23.2406192478634,1437
