Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000053310,Nrgn,Gene Expression,0.849230495400066,0.0,0.0,140702,42.22927672729207,2645
ENSMUSG00000070570,Slc17a7,Gene Expression,0.8228828454463434,0.0,0.0,49919,15.927820652112793,2435
ENSMUSG00000046447,Camk2n1,Gene Expression,0.8112121614961633,0.0,0.0,126518,44.058800706638436,2698
ENSMUSG00000021948,Prkcd,Gene Expression,0.8093848987347875,0.0,0.0,11675,4.552770117948635,1430
ENSMUSG00000061808,Ttr,Gene Expression,0.8088005899881938,0.0,0.0,348686,76.73215387483816,2674
ENSMUSG00000041607,Mbp,Gene Expression,0.7965984861055619,0.0,0.0,258769,112.84701279639039,2700
ENSMUSG00000035383,Pmch,Gene Expression,0.7847484395395488,0.0,0.0,67814,17.005396313242215,1718
ENSMUSG00000024985,Tcf7l2,Gene Expression,0.7769492292430982,0.0,0.0,6546,2.564212465278306,1282
ENSMUSG00000032532,Cck,Gene Expression,0.7605729556575779,0.0,0.0,67935,21.68537496001758,2585
ENSMUSG00000059213,Ddn,Gene Expression,0.7512051494892688,0.0,0.0,20213,7.3042104572663185,2337
ENSMUSG00000032517,Mobp,Gene Expression,0.7433834062173764,0.0,0.0,64528,28.462185908503553,2594
ENSMUSG00000064179,Tnnt1,Gene Expression,0.7376144631057819,0.0,0.0,3254,1.3107734434459273,783
ENSMUSG00000031980,Agt,Gene Expression,0.7341247800377088,0.0,0.0,12688,4.54487287906104,1871
ENSMUSG00000024661,Fth1,Gene Expression,0.7320874884356524,0.0,0.0,471025,179.48490894526668,2702
ENSMUSG00000018593,Sparc,Gene Expression,0.7286693656510003,0.0,0.0,41631,14.317647997781465,2659
ENSMUSG00000022421,Nptxr,Gene Expression,0.7130462992712656,0.0,0.0,31013,9.540910529938214,2430
ENSMUSG00000045471,Hcrt,Gene Expression,0.7060955492428334,0.0,0.0,14371,3.5156648582969017,876
ENSMUSG00000037126,Psd,Gene Expression,0.7055184509019775,0.0,0.0,25458,8.726140574627163,2517
ENSMUSG00000024617,Camk2a,Gene Expression,0.6998751641535648,0.0,0.0,49956,18.652525591205016,2683
ENSMUSG00000005583,Mef2c,Gene Expression,0.6973075208943266,0.0,0.0,19187,6.2993409677133165,2319
ENSMUSG00000026833,Olfm1,Gene Expression,0.6928756891355827,0.0,0.0,90380,27.005801782787806,2684
ENSMUSG00000047507,Baiap3,Gene Expression,0.6899114510517907,0.0,0.0,3355,0.8582507864923534,755
ENSMUSG00000027296,Itpka,Gene Expression,0.6861597678544721,0.0,0.0,11240,3.393972211820692,1821
ENSMUSG00000031425,Plp1,Gene Expression,0.68166710955262,0.0,0.0,233141,101.9550417477793,2681
ENSMUSG00000048644,Ctxn1,Gene Expression,0.6717422783425836,0.0,0.0,33912,9.772082791869416,2436
ENSMUSG00000090223,Pcp4,Gene Expression,0.6660113164482802,0.0,0.0,72361,23.860040755939036,2652
ENSMUSG00000007207,Stx1a,Gene Expression,0.6656015938671382,0.0,0.0,11608,3.6377069355566864,1980
ENSMUSG00000024907,Gal,Gene Expression,0.6643369104209624,0.0,0.0,2700,0.6726303117228183,406
ENSMUSG00000018339,Gpx3,Gene Expression,0.662628023919778,0.0,0.0,5059,1.30923765143546,1000
ENSMUSG00000027833,Shox2,Gene Expression,0.6609367556501936,0.0,0.0,1393,0.5519837684487067,515
ENSMUSG00000046093,Hpcal4,Gene Expression,0.6601991542970004,0.0,0.0,23634,7.692306753547907,2474
ENSMUSG00000032554,Trf,Gene Expression,0.6565587518101055,0.0,0.0,32524,13.664482919315928,2498
ENSMUSG00000067786,Nnat,Gene Expression,0.6499695620745884,0.0,0.0,36028,10.664974408602031,2504
ENSMUSG00000050315,Synpo2,Gene Expression,0.6496786187973819,0.0,0.0,2121,0.8266807874353238,793
